,Unnamed: 0,Data,User,Pesan,Jam,Tanggal,Status
34,34,35,Maimunah,"Asing juga tinggal dikit sih kayaknya keluar juga ngak ngefek amat
Yg serem skrg ritel byk eui
Membalas : Photo
Kalau liat berdasarkan makin muda taun kyknya kgk efek ke IHSG alias ijo besok
Kalau copet mau IHSG merah atau ijo yg penting sore cuan dan kosong porto
",7:25:52 PM,Sunday March 28 2021,Positif
38,38,39,Maimunah,"Membalas : Ia om  
Sentimen ijo kuat soalnya dimana mana Dilini masa ijo, tapi hasil akhir yg menang yg guyur ttp follow theoney",7:22:44 PM,Sunday March 28 2021,Positif
54,54,55,Jimmy,"Membalas : Mohon pencerahan om, aturan CL 2% (atau berapapun) ini ..terhadap total modal atau terhadap modal per trade ya?
Idealnya sih dari modal per trade yah. Kan cuan juga targetnya modal per trade. Tapi kalo mau dari overall modal juga boleh aja. Tapi ngincer TP cuannya pastinya dari overall modal juga  ",3:02:55 PM,Sunday March 28 2021,Positif
55,55,56,IHSG MORNING STAR OTW 6500,Haka antm 1jjta lot,2:54:23 PM,Sunday March 28 2021,Positif
56,56,57,Kaanz ,"Membalas : mau tanya, volume dikatakan tinggi itu kalau diatas volume rata"" candle harian atau gmn ya?
Kalo menurut saya volume dikatakan tinggi apabila transaksi hari ini lebih besar dari transaksi hari sebelumnya, baik tekanan jual atau beli, mungkin ada yang ditambah lagi dari teman  correct bila salah",2:48:51 PM,Sunday March 28 2021,Positif
60,60,61,Eko Bawono,"Membalas : Info dari Rm Alfius, Komisi Kepemudaan Keuskupan Makassar:  Mgr dan Para Romo serta teman2 sekalian... kami aman. Tidak ada kor
Syukurlah tdk ada korban jiwa dr umat.
#CENT. stlh sinyal wiseman1 valid ungu justru naik utk sementara orange. Struktur harga dan volume oke. Hmmmm
Ini adalah foto
#ANTM. Sinyal wiseman1 valid. Formasi candle sinyal buy. Hmmmm
Ini adalah foto",11:36:16 AM,Sunday March 28 2021,Positif
99,99,100,Bu Nana,"Membalas : Kalo sudah kenal betul sahamnya sih ada kemungkinan. Cuman memang risky yah. Kecuali capital all-in nya tidak terlalu besar, kat
Ya pak Jimmy kenal pola dr awal ditarik dan biasanya memang sudah uptren dan posisinya 
1. Mantul dr ma 5 or ma 20 
2. Mantul dr support candle",11:33:09 PM,Saturday March 27 2021,Positif
102,102,103,ryanless,"AGRO mantul di 1035
Ini adalah foto",10:53:58 PM,Saturday March 27 2021,Positif
104,104,105,ryanless,"Membalas : Ne ap mksdny?
Kalo jebol mungkin mantulnya di fibo 0.5 om",10:34:53 PM,Saturday March 27 2021,Positif
127,127,128,Avianto,"Yah itu yg sy maksud.. banyak jg retail yg "" gambling""  beli saham di hari LK krn prediksi di LK nya profit. Lalu saat LK keluar dan benar profit, maka  saham naik hr itu, kemudian TP di sore hari. 

Tetap ini masuk kriteria yg di sampaikan WB tadi
Menurut pendapat sy loh. Yg beda pendapat yah monggo
",8:09:46 PM,Saturday March 27 2021,Positif
129,129,130,Avianto,"Yup berarti benar day trading = zero sum game. 

yg cuan dapat uang dari yg boncos. 

Beda bila cuan di karenakan harga saham naik di sebabkan krn keberhasil perusahaan mencetak laba. Ini bukan zero sum game.
Saat org pegang saham bbrp waktu lalu harga naik saat LK keluar profit besar... maka banyak org tertarik saham tsb shg saham naik harganya",8:04:58 PM,Saturday March 27 2021,Positif
142,142,143,Kaanz ,"CENT memang menarik dari chartnya, apalgi kan mau RI juga bisa cuan njedog tuh ",7:28:14 PM,Saturday March 27 2021,Positif
144,144,145,Aho Lie,"Membalas : Iya jg, kadang sdh CL, harga malah naik lagi, kejadiannya di TINS dulu
Saya sekrg di cent  padahal udah komit mau sampai target e...iseng pdhl beli dpt di 226 itu harga plg tinggi lgs haka naik terus sampai 300 e..turun jual dulu 272.  Naik lagi fomo beli 280 trus turun gsk tahan maksd mau cl trus masuk lg malah lebh tinggi tp srkrg udh plus dikit ",7:26:43 PM,Saturday March 27 2021,Positif
146,146,147,Chai Lie,"Membalas : Tp ingat says pernah udah cl masuk kslah cepet malah dpt avg lebh tinggi jadi gak ada yg 100%bener
Iya jg, kadang sdh CL, harga malah naik lagi, kejadiannya di TINS dulu  ",7:23:43 PM,Saturday March 27 2021,Positif
172,172,173,Charles Prop,"Membalas : Krn waktu itu says persis pegsng bbtn begitu berits krluar naik 600%nsik tinggi says cuan lumyn saya udah bilg ama saudara sampa
Betul pasti pullback krn bbtn baru break ath 2020 jan kemarin. Tapi masih akan naik lagi mengikuti kinerjanya. Ini berlaku buat saham2 lain jg yg punya kinerja positif",6:38:18 PM,Saturday March 27 2021,Positif
176,176,177,Kaanz ,CENT nya potensi SSP dong ,6:35:16 PM,Saturday March 27 2021,Positif
184,184,185,Aho Lie,"Membalas : Deviden bagi pun jg ga akan besar. Dan ga ada artinya. Toh bbtn selama ini nyari duit dari kupon obligasi, yg harus dibayar bung
Krn waktu itu says persis pegsng bbtn begitu berits krluar naik 600%nsik tinggi says cuan lumyn saya udah bilg ama saudara sampai target 2000 kits tinggsl bener 2100 lebh lgs amblas bgt gak bagi deviden krn kbr bagus dan gak ngaruh banget ke saham sori ini pribadi bisa beda2 analisa gak kelar2     ",6:30:16 PM,Saturday March 27 2021,Positif
188,188,189,Aho Lie,"Membalas : Contoh yang barusan kejadian adalah BBTN. Dirut ditarik org luar. Investor ngerasa kebijakan bbtn ini uda bagus, tapi berhub org
Klo nurut saya begitu bilg untung nsik 600%lrbh tp deviden gak bagi  ",6:24:39 PM,Saturday March 27 2021,Positif
208,208,209,Fakhri Arsyan,"#JPFA,  potensi bikin HnS
Ini adalah foto",3:48:09 PM,Saturday March 27 2021,Positif
221,221,222,Eko Bawono,"Membalas : Wah terimakasih insightnya Pak... Jadi garis ungu itu batas CL kalau entry skrg di 1005 ya?
Grs ungu sinyal buy dr candle",2:38:49 PM,Saturday March 27 2021,Positif
